year,manure_N_applied,NO3_runoff,NH4_runoff,NH4_erosion,active_N_erosion,stable_N_erosion,fresh_N_erosion,NO3_drainage,NH4_drainage,active_N_drainage,NO3_L1,NO3_L2,NO3_L3,NH4_L1,NH4_L2,NH4_L3,active_N_L1,active_N_L2,active_N_L3,stable_N_L1,stable_N_L2,stable_N_L3,fresh_N,org_N_L1,org_N_L2,org_N_L3,profile_N
,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg/ha,kg/ha,kg/ha,kg
1980,0.0,0.8460300192304802,0.00016519713744492492,1.8272428714523092e-07,0.0003987672069804416,0.020968049158143664,0.0,78.50578780124215,0.009692041834354981,0.1353650994880131,24.527381422537985,115.26660537217238,20.147517496138793,0.0003062405219881618,0.0017220836311048898,0.0003712947092971644,0.6077243067807461,1.8398158537068843,0.3479741622694721,31.439783331159898,90.89071890170183,17.068748637054984,0.0,8.571428571428555,8.571428571428555,8.571428571428555,250.9867568584744
1981,0.0,0.0011378260465737312,0.00010962719239739642,1.1123297473475902e-07,0.00019488383241282007,0.011481017652834501,0.0,74.04306936110243,0.012132320534237693,0.1141693355261282,0.043954910069207966,57.4591816692912,12.744680037336094,0.00035996267337223923,0.0028214962879646987,0.0005853813761675516,0.5424355964891304,1.805788609592669,0.34706599327965615,31.410453526180323,90.88489715881559,17.06865803288775,0.0,8.571428571428555,8.571428571428555,8.571428571428555,171.26926589808699
1982,0.0,5.053946078752508e-05,0.00012960129757509978,1.328145713508699e-07,0.00031984248543904744,0.02016057497628959,0.0,46.472312729139276,0.01336440520667263,0.1095034922169107,0.0014414252691012455,24.39625178457475,5.349246247326536,0.00030609936365831705,0.0026997497850758706,0.0005743954761921852,0.49740735451742873,1.7781305892615826,0.3434952427521256,31.371363606628986,90.87351811083207,17.068134884239164,0.0,8.571428571428555,8.571428571428555,8.571428571428555,108.39483427608113
1983,0.0,3.8918348704595034e-05,9.544265227664627e-05,1.0018269198114343e-07,0.0002666437911516802,0.018119823417424723,0.0,25.544907024552973,0.01199253619432591,0.10947856981455534,0.0010331821968802828,10.853791089610375,2.361645981637014,0.00023214479743251473,0.002457777514532462,0.000525424908944627,0.4648070934105893,1.7519490252947816,0.33930401632520524,31.32507932356587,90.85760541247106,17.06691719444899,0.0,8.571428571428555,8.571428571428555,8.571428571428555,72.28656729114911
1984,0.0,6.360399091283377e-05,0.0001370878299783282,1.4509986964141877e-07,0.00028073101265985964,0.020163153547061604,0.0,13.959714707625787,0.013571560484877194,0.1234829514857471,0.0011343767303068296,4.509339431177427,0.9918511720448511,0.00020834365863068254,0.002306370307939131,0.000507974891608072,0.43644117891725537,1.724583903128074,0.33611265023648296,31.272142986022054,90.83687419848394,17.064934450588996,0.0,8.571428571428555,8.571428571428555,8.571428571428555,51.805740382042636
1985,0.0,9.9908269330442e-05,0.00012315576689018627,1.2656496545670902e-07,0.00033152163764750976,0.02525409238897801,0.0,6.085649088890315,0.013250610246624689,0.12622820992363323,0.0009232956314458958,1.7351623617461636,0.38439681367671824,0.00019264346869235515,0.002107825612416062,0.00046390215856504334,0.4134327184308449,1.6985006516914731,0.33427517772910226,31.212999740049806,90.81133550704813,17.062637427610024,0.0,8.571428571428555,8.571428571428555,8.571428571428555,41.58292570902383
1986,0.0,7.607330615419268e-05,0.0001354736943373503,1.4977708939179163e-07,0.000295094724376679,0.02323099816928342,0.0,2.1887717774787383,0.010608377148907536,0.10475651724672966,0.0006973492184301513,0.6792298823734407,0.14863739532778777,0.00020540541534557567,0.0020686782585710756,0.0004566712837028138,0.3965577752961768,1.6766780863911706,0.33143705036674714,31.145272549045938,90.7816788053196,17.05988111496646,0.0,8.571428571428555,8.571428571428555,8.571428571428555,37.277713343855226
1987,0.0,4.545709119599368e-05,0.00012438352956979545,1.3102687984408425e-07,0.00022499170009732155,0.01797039555594631,0.0,0.98654289937221,0.010309470911364993,0.09950170996000235,0.000952330742398358,0.3245911176123581,0.07177577810575987,0.0002611552955009854,0.0025300551994546167,0.0005481711770236061,0.3914327298144438,1.6598881465111255,0.3295454125565319,31.082706297759426,90.74873133547321,17.05675870878419,0.0,8.571428571428555,8.571428571428555,8.571428571428555,35.72961126777199
1988,0.0,3.358898384117601e-05,5.542953007633081e-05,3.7076911132841656e-08,7.323883332105004e-05,0.005840767319886623,0.0,0.4249608790513635,0.009211103693369223,0.08292057419097007,0.0011083349552452873,0.17007838009076925,0.03594432438713611,0.00021691184082707807,0.0022020037379726944,0.000496067166281208,0.38844846651984033,1.645287109704101,0.3258728637521586,31.024514622937588,90.71292559113161,17.05309616022692,0.0,8.571428571428555,8.571428571428555,8.571428571428555,35.01627962049839
1989,0.0,4.002857526141146e-05,5.473901930836634e-05,6.22039856120071e-08,0.00013267814497260695,0.010479825273635737,0.0,0.18495148998565966,0.007309664780834307,0.05921663419136331,0.0012605528776937602,0.11227686913236846,0.023221513134848788,0.00026679581662478885,0.00249081720258702,0.0005427318200294124,0.39278957893368344,1.640107344883165,0.32367341962844975,30.972043568430458,90.67540491989246,17.048912684204826,0.0,8.571428571428555,8.571428571428555,8.571428571428555,34.735719234433375
